YYYY-MM-DD,hh:mm,Original,Calculated,Flag
1923-03-01,--:--,-999,0.433,100
1923-04-01,--:--,-999,0.042,100
1923-05-01,--:--,-999,0.003,100
1923-06-01,--:--,-999,0,100
1923-07-01,--:--,-999,0,100
1923-08-01,--:--,-999,0,100
1923-09-01,--:--,-999,0,100
1923-10-01,--:--,-999,0,100
1923-11-01,--:--,-999,0,100
1923-12-01,--:--,-999,0.201,100
1924-01-01,--:--,-999,0.277,100
1924-02-01,--:--,-999,0.115,100
1924-03-01,--:--,-999,0.244,100
1924-04-01,--:--,-999,0.256,100
1924-05-01,--:--,-999,0.009,100
1924-06-01,--:--,-999,0,100
1924-07-01,--:--,-999,0,100
1924-08-01,--:--,-999,0,100
1924-09-01,--:--,-999,0,100
1924-10-01,--:--,-999,0,100
1924-11-01,--:--,-999,0,100
1924-12-01,--:--,-999,0.076,100
1925-01-01,--:--,-999,0.182,100
1925-02-01,--:--,-999,0.037,100
1925-03-01,--:--,-999,0.033,100
1925-04-01,--:--,-999,0.038,100
1925-05-01,--:--,-999,0.002,100
1925-06-01,--:--,-999,0,100
1925-07-01,--:--,-999,0,100
1925-08-01,--:--,-999,0,100
1925-09-01,--:--,-999,0,100
1925-10-01,--:--,-999,0,100
1925-11-01,--:--,-999,0,100
1925-12-01,--:--,-999,0.009,100
1926-01-01,--:--,-999,0.005,100
1926-02-01,--:--,-999,0.581,100
1926-03-01,--:--,-999,0.096,100
1926-04-01,--:--,-999,6.761,100
1926-05-01,--:--,-999,0.068,100
1926-06-01,--:--,-999,0.01,100
1926-07-01,--:--,-999,0,100
1926-08-01,--:--,-999,0,100
1926-09-01,--:--,-999,0,97
1926-10-01,--:--,-999,-999,0
1926-11-01,--:--,-999,-999,0
1926-12-01,--:--,-999,-999,0
1927-01-01,--:--,-999,-999,0
1927-02-01,--:--,-999,-999,0
1927-03-01,--:--,-999,-999,0
1927-04-01,--:--,-999,-999,0
1927-05-01,--:--,-999,-999,0
1927-06-01,--:--,-999,-999,0
1927-07-01,--:--,-999,-999,0
1927-08-01,--:--,-999,-999,0
1927-09-01,--:--,-999,-999,0
1927-10-01,--:--,-999,-999,0
1927-11-01,--:--,-999,-999,0
1927-12-01,--:--,-999,-999,0
1928-01-01,--:--,-999,-999,0
1928-02-01,--:--,-999,-999,0
1928-03-01,--:--,-999,-999,0
1928-04-01,--:--,-999,-999,0
1928-05-01,--:--,-999,-999,0
1928-06-01,--:--,-999,-999,0
1928-07-01,--:--,-999,-999,0
1928-08-01,--:--,-999,-999,0
1928-09-01,--:--,-999,-999,0
1928-10-01,--:--,-999,-999,0
1928-11-01,--:--,-999,-999,0
1928-12-01,--:--,-999,-999,0
1929-01-01,--:--,-999,-999,0
1929-02-01,--:--,-999,-999,0
1929-03-01,--:--,-999,-999,0
1929-04-01,--:--,-999,-999,0
1929-05-01,--:--,-999,-999,0
1929-06-01,--:--,-999,-999,0
1929-07-01,--:--,-999,-999,0
1929-08-01,--:--,-999,-999,0
1929-09-01,--:--,-999,-999,0
1929-10-01,--:--,-999,-999,0
1929-11-01,--:--,-999,-999,0
1929-12-01,--:--,-999,-999,0
1930-01-01,--:--,-999,-999,0
1930-02-01,--:--,-999,-999,0
1930-03-01,--:--,-999,-999,0
1930-04-01,--:--,-999,-999,0
1930-05-01,--:--,-999,-999,0
1930-06-01,--:--,-999,-999,0
1930-07-01,--:--,-999,-999,0
1930-08-01,--:--,-999,-999,0
1930-09-01,--:--,-999,-999,0
1930-10-01,--:--,-999,0.002,100
1930-11-01,--:--,-999,0.017,100
1930-12-01,--:--,-999,0.026,100
1931-01-01,--:--,-999,0.108,100
1931-02-01,--:--,-999,1.256,100
1931-03-01,--:--,-999,0.215,100
1931-04-01,--:--,-999,0.096,100
1931-05-01,--:--,-999,0.056,100
1931-06-01,--:--,-999,0.021,100
1931-07-01,--:--,-999,0.004,100
1931-08-01,--:--,-999,0.003,100
1931-09-01,--:--,-999,0.001,100
1931-10-01,--:--,-999,0.011,100
1931-11-01,--:--,-999,0.035,100
1931-12-01,--:--,-999,1.296,100
1932-01-01,--:--,-999,0.869,100
1932-02-01,--:--,-999,15.374,100
1932-03-01,--:--,-999,1.648,100
1932-04-01,--:--,-999,0.231,100
1932-05-01,--:--,-999,0.152,100
1932-06-01,--:--,-999,0.047,100
1932-07-01,--:--,-999,0.012,100
1932-08-01,--:--,-999,0.008,100
1932-09-01,--:--,-999,0.013,100
1932-10-01,--:--,-999,0.045,100
1932-11-01,--:--,-999,0.044,100
1932-12-01,--:--,-999,0.282,100
1933-01-01,--:--,-999,1.279,100
1933-02-01,--:--,-999,0.805,100
1933-03-01,--:--,-999,0.289,100
1933-04-01,--:--,-999,0.147,100
1933-05-01,--:--,-999,0.081,100
1933-06-01,--:--,-999,0.032,100
1933-07-01,--:--,-999,0.029,100
1933-08-01,--:--,-999,0.027,100
1933-09-01,--:--,-999,0.032,100
1933-10-01,--:--,-999,0.04,100
1933-11-01,--:--,-999,0.037,100
1933-12-01,--:--,-999,0.169,100
1934-01-01,--:--,-999,1.457,100
1934-02-01,--:--,-999,0.267,100
1934-03-01,--:--,-999,0.197,100
1934-04-01,--:--,-999,0.067,100
1934-05-01,--:--,-999,0.035,100
1934-06-01,--:--,-999,0.033,100
1934-07-01,--:--,-999,0.015,100
1934-08-01,--:--,-999,0.011,100
1934-09-01,--:--,-999,0.011,100
1934-10-01,--:--,-999,0.023,100
1934-11-01,--:--,-999,0.045,100
1934-12-01,--:--,-999,0.457,100
1935-01-01,--:--,-999,0.897,100
1935-02-01,--:--,-999,1.867,100
1935-03-01,--:--,-999,1.829,100
1935-04-01,--:--,-999,0.586,100
1935-05-01,--:--,-999,0.139,100
1935-06-01,--:--,-999,0.143,100
1935-07-01,--:--,-999,0.076,100
1935-08-01,--:--,-999,0.065,100
1935-09-01,--:--,-999,0.065,100
1935-10-01,--:--,-999,0.063,100
1935-11-01,--:--,-999,0.069,100
1935-12-01,--:--,-999,0.071,100
1936-01-01,--:--,-999,0.072,100
1936-02-01,--:--,-999,3.619,100
1936-03-01,--:--,-999,0.488,100
1936-04-01,--:--,-999,0.547,100
1936-05-01,--:--,-999,0.12,100
1936-06-01,--:--,-999,0.118,100
1936-07-01,--:--,-999,0.089,100
1936-08-01,--:--,-999,0.051,100
1936-09-01,--:--,-999,0.045,100
1936-10-01,--:--,-999,0.065,100
1936-11-01,--:--,-999,0.068,100
1936-12-01,--:--,-999,2.647,100
1937-01-01,--:--,-999,3.763,100
1937-02-01,--:--,-999,28.375,100
1937-03-01,--:--,-999,16.581,100
1937-04-01,--:--,-999,4.04,100
1937-05-01,--:--,-999,0.979,100
1937-06-01,--:--,-999,0.319,100
1937-07-01,--:--,-999,0.013,100
1937-08-01,--:--,-999,0.011,100
1937-09-01,--:--,-999,0,100
1937-10-01,--:--,-999,0.018,100
1937-11-01,--:--,-999,0.02,100
1937-12-01,--:--,-999,0.315,100
1938-01-01,--:--,-999,0.501,100
1938-02-01,--:--,-999,2.667,100
